Area,Activity Name,Activity Descreption,Label,Sub Area,Industries to which it applies,Audit Type,Entities,Task Name,Estimated Hours,Auditing Standard,IAS,Process Note,,,
Income tax Act 1961,amounts inadmissible under section 40(ib) as payment to non-resident referred to in sub-clause,amounts inadmissible under section 40(ib) as payment to non-resident referred to in sub-clause,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Details of payment on which levy is not deducted:  - Date of payment      - Amount of payment   - Nature of payment  - Name of the payee  - PAN of the payee, if available   - Address of the payee",,Para B21(b) (iii) (A),,Annexure 19,,,
Income tax Act 1961,amounts inadmissible under section 40(ib) as payment to non-resident referred to in sub-clause,amounts inadmissible under section 40(ib) as payment to non-resident referred to in sub-clause,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Details of payment on which levy has been deducted but has not been paid on or before the due date specified in sub- section (1) of section139            Date of payment      - Amount of payment   - Nature of payment  - Name of the payee  - PAN of the payee, if available   - Address of the payee  - Amount of tax deducted  - amount out of above deposited, if any",,Para B21(b) (iii) (B),,Annexure 20,,,
Income tax Act 1961,Fringe benfit tax under sub-clause (ic) ,Fringe benfit tax under sub-clause (ic) ,Regulatory,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Fringe benfit tax under sub-clause (ic) ,,Para B21 (b) (iv) ,,Attach File,,,
Income tax Act 1961,Wealth tax under sub-clause (iia),Wealth tax under sub-clause (iia),Regulatory,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Wealth tax under sub-clause (iia) ,,Para B21 (b) (v) ,,Attach File,,,
Income tax Act 1961,"Royalty, license fees, service fees etc. under sub-clause (iib)","Royalty, license fees, service fees etc. under sub-clause (iib)",Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Royalty, license fees, service fees etc. under sub-clause (iib)",,Para B21 (b) (vi) ,,Attach File,,,
Income tax Act 1961,Salary payable outside india/ to a non- resident without TDS etc. under sub-clause (iii)      -  Date of Payment  - Amount of Payment  - Name and Address of the payee,Salary payable outside india/ to a non- resident without TDS etc. under sub-clause (iii)      -  Date of Payment  - Amount of Payment  - Name and Address of the payee,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Salary payable outside india/ to a non- resident without TDS etc. under sub-clause (iii)      -  Date of Payment  - Amount of Payment  - Name and Address of the payee,,Para B21 (b) (vii) ,,Attach File,,,
Income tax Act 1961,Payment to PF/ other fund etc. under sub-clause (iv),Payment to PF/ other fund etc. under sub-clause (iv),Regulatory,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Payment to PF/ other fund etc. under sub-clause (iv),,Para B21 (b) (viii) ,,Attach File,,,
Income tax Act 1961,Tax paid by employer for perquisites under sub-clause (v),Tax paid by employer for perquisites under sub-clause (v),Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Tax paid by employer for perquisites under sub-clause (v),,Para B21 (b) (ix) ,,Attach File,,,
Income tax Act 1961,"Amounts debited to profit and loss account being, interest, salary, bonus, commission or remuneration inadmissible under section 40(b)/40(ba) and computation thereof;  - Nature  - Section - Amount debited to P/L A/c  - Amount admissible  - Amount inadmissible","Amounts debited to profit and loss account being, interest, salary, bonus, commission or remuneration inadmissible under section 40(b)/40(ba) and computation thereof;  - Nature  - Section - Amount debited to P/L A/c  - Amount admissible  - Amount inadmissible",Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Amounts debited to profit and loss account being, interest, salary, bonus, commission or remuneration inadmissible under section 40(b)/40(ba) and computation thereof;  - Nature  - Section - Amount debited to P/L A/c  - Amount admissible  - Amount inadmissible Update Annexure 21",,Para B21(c),,Annexure 21,,,
Income tax Act 1961,Disallowance/deemed income under section 40A(3):,Disallowance/deemed income under section 40A(3):,Global Review of Accounts,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"On the basis of the examination of books of account and other relevant documents/evidence, whether the expenditure covered under section 40A(3) read with rule 6DD were made by account payee cheque drawn on a bank or account payee bank draft. If not, please furnish the details:  - Serial No  - Date of payment  - Nature of payment  - Amount  - Name and Permanent Account Number of the payee, if available",,Para 21 (d) (A),,Annexure 22,,,
Income tax Act 1961,Disallowance/deemed income under section 40A(3):,Disallowance/deemed income under section 40A(3):,Global Review of Accounts,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"On the basis of the examination of books of account and other relevant documents/evidence,whether the payment referred to in section 40A(3A) read with rule 6DD were made by account payee cheque drawn on a bank or account payee bank draft If not, please furnish the details of amount deemed to be the profits and gains of business or profession under section 40A(3A); Update As per Annexure 22",,Para 21 (d) (B),,Annexure 22,,,
Income tax Act 1961,Provision for payment of gratuity not allowable under section 40A(7);,Provision for payment of gratuity not allowable under section 40A(7);,Global Review of Accounts,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Provision for payment of gratuity not allowable under section 40A(7); Update Provision for Gratuity disallowable,,Para B21(e),,Attach File,,,
Income tax Act 1961,Any sum paid by the assessee as an employer not allowable under section 40A(9);,Any sum paid by the assessee as an employer not allowable under section 40A(9);,Global Review of Accounts,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Any sum paid by the assessee as an employer not allowable under section 40A(9); Update NIL,,Para B21(f),,Attach File,,,
Income tax Act 1961,Particulars of any liability of a contingent nature;,Particulars of any liability of a contingent nature;,Off Balance sheet,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Particulars of any liability of a contingent nature,,Para B21(g),,Attach File,,,
Income tax Act 1961,amount of deduction inadmissible in terms of section 14A in respect of the expenditure incurred in relation to income which does not form part of the total income;,amount of deduction inadmissible in terms of section 14A in respect of the expenditure incurred in relation to income which does not form part of the total income;,Global Review of Accounts,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,amount of deduction inadmissible in terms of section 14A in respect of the expenditure incurred in relation to income which does not form part of the total income; Update As per Annexure 23,,Para B21(h),,Annexure 23,,,
Income tax Act 1961,Amount inadmissible under the proviso to section 36(1)(iii).,Amount inadmissible under the proviso to section 36(1)(iii).,Global Review of Accounts,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Amount inadmissible under the proviso to section 36(1)(iii).,,Para B21(i),,Attach File,,,
Income tax Act 1961,"Amount of interest inadmissible under section 23 of the Micro, Small and Medium Enterprises Development Act, 2006.","Amount of interest inadmissible under section 23 of the Micro, Small and Medium Enterprises Development Act, 2006.",Regulatory,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Amount of interest inadmissible under section 23 of the Micro, Small and Medium Enterprises Development Act, 2006.",,Para B22,,Attach File,,,
Income tax Act 1961,Particulars of payments made to persons specified under section 40A(2)(b).,Particulars of payments made to persons specified under section 40A(2)(b).,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Particulars of payments made to persons specified under section 40A(2)(b). Update As per Annexure 24,,Para B23,,Annexure 24,,,
Income tax Act 1961,Amounts deemed to be profits and gains under section 32AC or 32AD or 33AB or 33ABA or 33AC.,Amounts deemed to be profits and gains under section 32AC or 32AD or 33AB or 33ABA or 33AC.,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Amounts deemed to be profits and gains under section 32AC or 32AD or 33AB or 33ABA or 33AC.,,Para B24,,Attach File,,,
Income tax Act 1961,Any amount of profit chargeable to tax under section 41 and computation thereof.,Any amount of profit chargeable to tax under section 41 and computation thereof.,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Any amount of profit chargeable to tax under section 41 and computation thereof. Update As per Annexure 25,,Para B25,,Attach File,,,
Income tax Act 1961,"In respect of any sum referred to in clause (a), (b), (c), (d) (e) (f) or (g) of section 43B, the liability for which :—","In respect of any sum referred to in clause (a), (b), (c), (d) (e) (f) or (g) of section 43B, the liability for which :—",Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Pre-existed on the first day of the previous year but was not allowed in the assessment of any preceding previous year and was Paid during the previous year; Update Annexure 25,,Para B26 A (a),,Annexure 25,,,
Income tax Act 1961,"In respect of any sum referred to in clause (a), (b), (c), (d) (e) (f) or (g) of section 43B, the liability for which :—","In respect of any sum referred to in clause (a), (b), (c), (d) (e) (f) or (g) of section 43B, the liability for which :—",Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Pre-existed on the first day of the previous year but was not allowed in the assessment of any preceding previous year and was not Paid during the previous year;Update Annexure 25,,Para B26 A (b),,Annexure 25,,,
Income tax Act 1961,"In respect of any sum referred to in clause (a), (b), (c), (d) (e) (f) or (g) of section 43B, the liability for which :—","In respect of any sum referred to in clause (a), (b), (c), (d) (e) (f) or (g) of section 43B, the liability for which :—",Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Was incurred in the previous year and was Paid on or before the due date for furnishing the return of income of the previous year under section 139(1); Update Annexure 26,,Para B26 B (a),,Annexure 26,,,
Income tax Act 1961,"In respect of any sum referred to in clause (a), (b), (c), (d) (e) (f) or (g) of section 43B, the liability for which :—","In respect of any sum referred to in clause (a), (b), (c), (d) (e) (f) or (g) of section 43B, the liability for which :—",Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Was incurred in the previous year and was Not paid on or before the aforesaid date. Update Annexure 26,,Para B26 B (b),,Annexure 26,,,
Income tax Act 1961,"In respect of any sum referred to in clause (a), (b), (c), (d) (e) (f) or (g) of section 43B, the liability for which :—","In respect of any sum referred to in clause (a), (b), (c), (d) (e) (f) or (g) of section 43B, the liability for which :—",Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Check if sales tax, customs duty, excise duty or any other indirect tax, levy, cess, impost, etc., is passed through the profit and loss account.",,Para B26,,Yes/No,,,
Income tax Act 1961,Amount of Central Value Added Tax credits availed of or utilized during the previous year and its treatment in the profit and loss account and treatment of outstanding Central Value Added Tax credits in the accounts.,Amount of Central Value Added Tax credits availed of or utilized during the previous year and its treatment in the profit and loss account and treatment of outstanding Central Value Added Tax credits in the accounts.,Global Review of Accounts,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Amount of Central Value Added Tax credits availed of or utilized during the previous year and its treatment in the profit and loss account and treatment of outstanding Central Value Added Tax credits in the accounts. Update As Per Annexure 28,,Para B27(a),,Annexure 28,,,
Income tax Act 1961,Particulars of income or expenditure of prior period credited or debited to the profit and loss account.,Particulars of income or expenditure of prior period credited or debited to the profit and loss account.,Global Review of Accounts,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Particulars of income or expenditure of prior period credited or debited to the profit and loss account. Update As Per Annexure 29,,Para B27(b),,Annexure 29,,,
Income tax Act 1961,"Whether during the previous year the assessee has received any property, being share of a company not being a company in which the public are substantially interested, without consideration or for inadequate consideration as referred to in section 56(2)(viia), if yes, please furnish the details of the same.  - Name of the person from which the shares received  - PAN of the person, if available  - Name of the Company whose shares are received  - Name and Permanent Account Number of the payee, if available  - CIN of the Compnay  - No. of Shares Received  - Amount of Consideration paid  - Fair Market value of the Shares","Whether during the previous year the assessee has received any property, being share of a company not being a company in which the public are substantially interested, without consideration or for inadequate consideration as referred to in section 56(2)(viia), if yes, please furnish the details of the same.  - Name of the person from which the shares received  - PAN of the person, if available  - Name of the Company whose shares are received  - Name and Permanent Account Number of the payee, if available  - CIN of the Compnay  - No. of Shares Received  - Amount of Consideration paid  - Fair Market value of the Shares",Assets,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Whether during the previous year the assessee has received any property, being share of a company not being a company in which the public are substantially interested, without consideration or for inadequate consideration as referred to in section 56(2)(viia), if yes, please furnish the details of the same.  - Name of the person from which the shares received  - PAN of the person, if available  - Name of the Company whose shares are received  - Name and Permanent Account Number of the payee, if available  - CIN of the Compnay  - No. of Shares Received  - Amount of Consideration paid  - Fair Market value of the Shares : Update Annexure 30 if the answer is "" Yes""",,Para B28,,Annexure 30,,,
Income tax Act 1961,"Whether during the previous year the assessee received any consideration for issue of shares which exceeds the fair market value of the shares as referred to in section 56(2)(viib), if yes, please furnish the details of the same.  - Name of the person from whom consideration received for issue of shares   - PAN of the person, if available  - No. of Shares issued  - Amount of Consideration received  - Fair Market value of the Shares","Whether during the previous year the assessee received any consideration for issue of shares which exceeds the fair market value of the shares as referred to in section 56(2)(viib), if yes, please furnish the details of the same.  - Name of the person from whom consideration received for issue of shares   - PAN of the person, if available  - No. of Shares issued  - Amount of Consideration received  - Fair Market value of the Shares",Assets,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Whether during the previous year the assessee received any consideration for issue of shares which exceeds the fair market value of the shares as referred to in section 56(2)(viib), if yes, please furnish the details of the same.  - Name of the person from whom consideration received for issue of shares   - PAN of the person, if available  - No. of Shares issued  - Amount of Consideration received  - Fair Market value of the SharesUpdate Yes / No",,Para B29,,Attach File,,,
Income tax Act 1961,"Whether any amount is to be included as income chargeable under the head ‘income from other sources’ as referred to in clause (ix) of sub-section (2) of section 56?  If yes, please furnish the following details:                                            - Nature of Income                                          - Amount thereof",Whether any amount is to be included as income chargeable under the head ‘income from other sources’ as referred to in clause (ix) of sub-section (2) of section 56?,Global Review of Accounts,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Whether any amount is to be included as income chargeable under the head ‘income from other sources’ as referred to in clause (ix) of sub-section (2) of section 56? Update Yes/No,,Para B29A(a),,Attach File,,,
Income tax Act 1961,"Whether any amount is to be included as income chargeable under the head ‘income from other sources’ as referred to in clause (x) of sub-section (2) of section 56? (Yes/No)  If yes, please furnish the following details:                                            - Nature of Income                                          - Amount thereof",Whether any amount is to be included as income chargeable under the head ‘income from other sources’ as referred to in clause (x) of sub-section (2) of section 56? (Yes/No),Global Review of Accounts,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Whether any amount is to be included as income chargeable under the head ‘income from other sources’ as referred to in clause (x) of sub-section (2) of section 56? (Yes/No) Update Yes/ No,,Para B29B(a),,Attach File,,,
Income tax Act 1961,"Details of any amount borrowed on hundi or any amount due thereon (including interest on the amount borrowed) repaid, otherwise than through an account payee cheque [Section 69D].","Details of any amount borrowed on hundi or any amount due thereon (including interest on the amount borrowed) repaid, otherwise than through an account payee cheque [Section 69D].",Liability,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Details of any amount borrowed on hundi or any amount due thereon (including interest on the amount borrowed) repaid, otherwise than through an account payee cheque [Section 69D]. Update Yes/ No",,Para B30,,Attach File,,,
Income tax Act 1961,"Whether primary adjustment to transfer price, as referred to in sub-section (1) of section 92CE, has been made during the previous year? If yes, please furnish the following details:","Whether primary adjustment to transfer price, as referred to in sub-section (1) of section 92CE, has been made during the previous year? If yes, please furnish the following details:",Regulatory,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Under which clause of sub-section (1) of section 92CE primary adjustment is made?,,Para B 30 A (a) (i),,Attach File,,,
Income tax Act 1961,"Whether primary adjustment to transfer price, as referred to in sub-section (1) of section 92CE, has been made during the previous year? If yes, please furnish the following details:","Whether primary adjustment to transfer price, as referred to in sub-section (1) of section 92CE, has been made during the previous year? If yes, please furnish the following details:",Regulatory,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Amount (in INR.) of primary adjustment:,,Para B 30 A (a) (ii),,Attach File,,,
Income tax Act 1961,"Whether primary adjustment to transfer price, as referred to in sub-section (1) of section 92CE, has been made during the previous year? If yes, please furnish the following details:","Whether primary adjustment to transfer price, as referred to in sub-section (1) of section 92CE, has been made during the previous year? If yes, please furnish the following details:",Regulatory,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Whether the excess money available with the associated enterprise is required to be repatriated to India as per the provisions of sub-section (2) of section 92CE? (Yes/No),,Para B 30 A (a) (iii),,Attach File,,,
Income tax Act 1961,"Whether primary adjustment to transfer price, as referred to in sub-section (1) of section 92CE, has been made during the previous year? If yes, please furnish the following details:","Whether primary adjustment to transfer price, as referred to in sub-section (1) of section 92CE, has been made during the previous year? If yes, please furnish the following details:",Regulatory,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"If yes, whether the excess money has been repatriated within the prescribed time (Yes/No)",,Para B 30 A (a) (iv),,Attach File,,,
Income tax Act 1961,"Whether primary adjustment to transfer price, as referred to in sub-section (1) of section 92CE, has been made during the previous year? If yes, please furnish the following details:","If no, the amount (in Rs.) of imputed interest income on such excess money which has not been
repatriated within the prescribed time:",Regulatory,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"If no, the amount (in Rs.) of imputed interest income on such excess money which has not been
repatriated within the prescribed time:",,Para B 30 A (a) (v),,Attach File,,,
Income tax Act 1961,"Whether the assessee has incurred expenditure during the previous year by way of interest or of similar nature exceeding one crore rupees as referred to in sub-section (1) of section 94B? If yes, please furnish the following details:","Whether the assessee has incurred expenditure during the previous year by way of interest or of similar nature exceeding one crore rupees as referred to in sub-section (1) of section 94B? If yes, please furnish the following details:",Expenses,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Amount (in INR.) of expenditure by way of interest or of similar nature incurred:,,Para B 30 B (b) (i),,Attach File,,,
Income tax Act 1961,"Whether the assessee has incurred expenditure during the previous year by way of interest or of similar nature exceeding one crore rupees as referred to in sub-section (1) of section 94B? If yes, please furnish the following details:","Whether the assessee has incurred expenditure during the previous year by way of interest or of similar nature exceeding one crore rupees as referred to in sub-section (1) of section 94B? If yes, please furnish the following details:",Expenses,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Earnings before interest, tax, depreciation and amortization (EBITDA) during the previous year (in Rs.):",,Para B 30 B (b) (ii),,Attach File,,,
Income tax Act 1961,"Whether the assessee has incurred expenditure during the previous year by way of interest or of similar nature exceeding one crore rupees as referred to in sub-section (1) of section 94B? If yes, please furnish the following details:","Whether the assessee has incurred expenditure during the previous year by way of interest or of similar nature exceeding one crore rupees as referred to in sub-section (1) of section 94B? If yes, please furnish the following details:",Expenses,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Amount (in Rs.) of expenditure by way of interest or of similar nature as per (i) above which exceeds 30% of EBITDA as per (ii) above:,,Para B 30 B (b) (iii),,Attach File,,,
Income tax Act 1961,"Whether the assessee has incurred expenditure during the previous year by way of interest or of similar nature exceeding one crore rupees as referred to in sub-section (1) of section 94B? If yes, please furnish the following details:","Whether the assessee has incurred expenditure during the previous year by way of interest or of similar nature exceeding one crore rupees as referred to in sub-section (1) of section 94B? If yes, please furnish the following details:",Expenses,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Details of interest expenditure brought forward as per sub-section (4) of section 94B: - Assessement Year                                    - Amount (INR),,Para B 30 B (b) (iv),,Attach File,,,
Income tax Act 1961,"Whether the assessee has incurred expenditure during the previous year by way of interest or of similar nature exceeding one crore rupees as referred to in sub-section (1) of section 94B? If yes, please furnish the following details:","Whether the assessee has incurred expenditure during the previous year by way of interest or of similar nature exceeding one crore rupees as referred to in sub-section (1) of section 94B? If yes, please furnish the following details:",Expenses,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Details of interest expenditure carried forward as per sub-section (4) of section 94B:                                                                         - Assessement Year                                        - Amount (INR),,Para B 30 B (b) (v),,Attach File,,,
Income tax Act 1961,"Whether the assessee has entered into an impermissible avoidance arrangement, as referred to in section 96, during the previous year? If yes, please specify:-","Whether the assessee has entered into an impermissible avoidance arrangement, as referred to in section 96, during the previous year? If yes, please specify:-",Litigations/Defaults etc.,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Nature of the impermissible avoidance arrangement:,,Para B 30 C(b) (i),,Attach File,,,
Income tax Act 1961,"Whether the assessee has entered into an impermissible avoidance arrangement, as referred to in section 96, during the previous year? If yes, please specify:-","Whether the assessee has entered into an impermissible avoidance arrangement, as referred to in section 96, during the previous year? If yes, please specify:-",Litigations/Defaults etc.,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Amount (in INR.) of tax benefit in the previous year arising, in aggregate, to all the parties to the arrangement:”;",,Para B 30 C(b) (ii),,Attach File,,,
Income tax Act 1961,"Particulars of each loan or deposit in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year :—  ((These particulars at (a) and (b) need not be given in the case of a Government  company, a banking company or a corporation established by a Central, State  or Provincial Act.))",Particulars of each loan or deposit in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year :—,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Name, address and permanent account number (if available with the assessee) of the lender or depositor;",,Para B 31 (a) (i),,Annexure 31,,,
Income tax Act 1961,"Particulars of each loan or deposit in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year :—  ((These particulars at (a) and (b) need not be given in the case of a Government  company, a banking company or a corporation established by a Central, State  or Provincial Act.))",Particulars of each loan or deposit in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year :—,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Amount of loan or deposit taken or accepted;,,Para B 31 (a) (ii),,Annexure 31,,,
Income tax Act 1961,"Particulars of each loan or deposit in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year :—  ((These particulars at (a) and (b) need not be given in the case of a Government  company, a banking company or a corporation established by a Central, State  or Provincial Act.))",Particulars of each loan or deposit in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year :—,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Whether the loan or deposit was squared up during the previous year;,,Para B 31 (a) (iii),,Annexure 31,,,
Income tax Act 1961,"Particulars of each loan or deposit in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year :—  ((These particulars at (a) and (b) need not be given in the case of a Government  company, a banking company or a corporation established by a Central, State  or Provincial Act.))",Particulars of each loan or deposit in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year :—,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Maximum amount outstanding in the account at any time during the previous year;,,Para B 31 (a) (iv),,Annexure 31,,,
Income tax Act 1961,"Particulars of each loan or deposit in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year :—  ((These particulars at (a) and (b) need not be given in the case of a Government  company, a banking company or a corporation established by a Central, State  or Provincial Act.))",Particulars of each loan or deposit in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year :—,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Whether the loan or deposit was taken or accepted by cheque or bank draft or use  of electronic clearing system through a bank account; ,,Para B 31 (a) (v),,Annexure 31,,,
Income tax Act 1961,"Particulars of each loan or deposit in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year :—  ((These particulars at (a) and (b) need not be given in the case of a Government  company, a banking company or a corporation established by a Central, State  or Provincial Act.))",Particulars of each loan or deposit in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year :—,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"In case the loan or deposit was taken or accepted by cheque or bank draft, whether the same was taken or accepted by an account payee cheque or an account payee bank draft.",,Para B 31 (a) (vi),,Annexure 31,,,
Income tax Act 1961,"Particulars of each specified sum in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year: - (These particulars at (a) and (b) need not be given in the case of a Government  company, a banking company or a corporation established by a Central, State  or Provincial Act.)",Particulars of each specified sum in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year: -,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,"Name, address and permanent account number (if available with the assessee) of the person from whom specified sum is received;;",,Para B31(b) (i),,Annexure 32,,,
Income tax Act 1961,"Particulars of each specified sum in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year: - (These particulars at (a) and (b) need not be given in the case of a Government  company, a banking company or a corporation established by a Central, State  or Provincial Act.)","Name, address and permanent account number (if available with the assessee) of the person from whom specified sum is received;;",Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Amount of specified sum taken or accepted;,,Para B31(b) (ii),,Annexure 32,,,
Income tax Act 1961,"Particulars of each specified sum in an amount exceeding the limit specified in section 269SS taken or accepted during the previous year: - (These particulars at (a) and (b) need not be given in the case of a Government  company, a banking company or a corporation established by a Central, State  or Provincial Act.)",Amount of specified sum taken or accepted;,Transaction Review,3CD-44 AB of Income Tax Act 1961,Generic Tasks Applicable to all Industries,Tax Audit,Entitities Qualfying for Tax Audit,Whether the specified sum was taken or accepted by cheque or bank draft or use of electronic clearing system through a bank account;,,Para B31(b) (iii),,Annexure 32,,,
